"Index","AAPL","NFLX","AMZN","K","O","PG","TSM","V"
"2010-01-04",6.46197700500488,7.6399998664856,6.69500017166138,31.083667755127,12.9335660934448,39.902400970459,7.42787742614746,19.8625564575195
"2010-01-05",6.47314882278442,7.35857105255127,6.73449993133545,31.154275894165,13.1515951156616,39.9154624938965,7.39580535888672,19.634952545166
"2010-01-06",6.37018489837646,7.61714315414429,6.61250019073486,31.1601638793945,13.1416921615601,39.7261390686035,7.37014770507812,19.3712863922119
"2010-01-07",6.35840654373169,7.48571395874023,6.5,31.4661083221436,13.4191932678223,39.5106964111328,7.12639904022217,19.551570892334
"2010-01-08",6.40068054199219,7.61428594589233,6.67600011825562,31.4072666168213,13.6025485992432,39.4584465026855,7.11998701095581,19.6056575775146
"2010-01-11",6.3442177772522,7.60428619384766,6.51550006866455,31.4249248504639,13.4984769821167,39.3017730712891,7.08150053024292,19.5493144989014
"2010-01-12",6.27204990386963,7.48142910003662,6.36749982833862,31.4131603240967,13.548023223877,39.7522583007812,6.86341094970703,19.4569244384766
"2010-01-13",6.36052131652832,7.70857095718384,6.45550012588501,31.6073246002197,13.7016515731812,40.1635437011719,7.04301309585571,19.63720703125
"2010-01-14",6.32368612289429,7.28428602218628,6.36749982833862,31.6838150024414,13.647141456604,40.2027206420898,6.97245788574219,19.7048091888428
"2010-01-15",6.21800327301025,7.27857112884521,6.35699987411499,31.9721069335938,13.6223678588867,39.7065467834473,6.79926729202271,19.4118576049805
"2010-01-19",6.49307680130005,7.31428623199463,6.38049983978271,32.0662574768066,13.8503074645996,40.294116973877,7.03018426895142,19.7972068786621
"2010-01-20",6.39313316345215,7.32000017166138,6.28900003433228,31.6955738067627,13.6421890258789,39.748363494873,6.92755699157715,19.7003040313721
"2010-01-21",6.28261947631836,7.31285715103149,6.33099985122681,31.4425659179688,13.3399143218994,39.3472709655762,6.7928524017334,19.0310077667236
"2010-01-22",5.97100973129272,7.26999998092651,6.07149982452393,31.9721069335938,13.0177984237671,39.6562995910645,6.47213220596313,18.6433963775635
"2010-01-25",6.13164710998535,7.01857089996338,6.01550006866455,31.8720951080322,13.3052234649658,39.8667068481445,6.51061773300171,18.4856567382812
"2010-01-26",6.21830463409424,7.13571405410767,5.97399997711182,32.2721748352051,13.5133399963379,39.9061622619629,6.41440343856812,18.2873497009277
"2010-01-27",6.27688455581665,7.28142881393433,6.13749980926514,32.3898544311523,13.7957992553711,39.9850845336914,6.40798759460449,18.9093189239502
"2010-01-28",6.01750898361206,9.00571441650391,6.30149984359741,32.248649597168,13.8371410369873,40.5571441650391,6.4464750289917,18.6253814697266
"2010-01-29",5.7992000579834,8.89285659790039,6.27050018310547,32.019172668457,13.9118576049805,40.4716529846191,6.51703405380249,18.4856567382812
"2010-02-01",5.87982082366943,8.71857070922852,5.94350004196167,32.1956901550293,13.8769903182983,40.7609748840332,6.46571731567383,18.8529777526855
"2010-02-02",5.91394090652466,8.83571434020996,5.9060001373291,32.5722465515137,13.7973003387451,41.3593292236328,6.38874530792236,18.9318504333496
"2010-02-03",6.01569843292236,8.85000038146973,5.95499992370605,32.472225189209,13.4785099029541,41.1949462890625,6.45288991928101,18.8214378356934
"2010-02-04",5.79889869689941,8.61999988555908,5.79699993133545,30.8365573883057,12.9604930877686,40.3730278015137,6.20914125442505,18.7155170440674
"2010-02-05",5.90186309814453,8.69142913818359,5.86950016021729,31.0189514160156,13.0103015899658,40.3072662353516,6.13216781616211,18.6050853729248
"2010-02-08",5.86140394210815,8.69999980926514,5.84149980545044,30.6012096405029,12.8210220336914,40.1165733337402,6.16423892974854,18.7155170440674
"2010-02-09",5.9239068031311,8.87571430206299,5.90150022506714,30.8836231231689,12.7114458084106,40.6097259521484,6.15782833099365,18.7650871276855
"2010-02-10",5.89159870147705,8.78428554534912,5.86800003051758,30.7894840240479,12.8260068893433,40.5505599975586,6.22196912765503,18.8768100738525
"2010-02-11",5.99878978729248,9.05142879486084,6.00449991226196,30.960111618042,12.9654722213745,40.7412414550781,6.34384489059448,19.2153511047363
"2010-02-12",6.05042171478271,9.02571392059326,5.98299980163574,30.7953681945801,13.4436473846436,40.6097259521484,6.22838544845581,19.1340942382812
"2010-02-16",6.14160966873169,9.26571369171143,5.87650012969971,30.9483299255371,13.871997833252,41.3133087158203,6.3566722869873,19.3823547363281
"2010-02-17",6.11594486236572,9.21571445465088,5.81549978256226,31.1719245910645,14.1061210632324,41.3264541625977,6.42723035812378,19.504222869873
"2010-02-18",6.12741947174072,9.44285678863525,5.90399980545044,31.1895732879639,14.3202924728394,41.6815299987793,6.45288991928101,19.6261043548584
"2010-02-19",6.08937215805054,9.52142906188965,5.87599992752075,31.3013820648193,14.2356204986572,41.7209892272949,6.42723035812378,19.5922508239746
"2010-02-22",6.05162858963013,9.32428646087646,5.90049982070923,31.1013126373291,14.0961542129517,41.7012557983398,6.41440343856812,19.6148223876953
"2010-02-23",5.9501748085022,9.19285678863525,5.86199998855591,31.0248260498047,13.9616575241089,41.5631713867188,6.31818675994873,19.4365158081055
"2010-02-24",6.05887746810913,9.24142932891846,5.98600006103516,30.8306674957275,14.101128578186,42.0102996826172,6.29894113540649,19.3259372711182
"2010-02-25",6.09933757781982,9.37285709381104,5.90999984741211,30.7777137756348,14.1727180480957,41.885368347168,6.25404167175293,19.2356643676758
"2010-02-26",6.17844676971436,9.43571376800537,5.92000007629395,30.9051303863525,14.0175323486328,41.6091957092285,6.25404167175293,19.2469425201416
